Date,Low,High,Close,Open
2020-12-31,150.1,152.56,152.34,150.3218
2020-12-30,148.9227,151.61,149.95,149.12
2020-12-29,147.03,148.99,148.49,148.97
2020-12-28,147.44,151.07,147.74,150.62
2020-12-24,147.2,148.9,148.79,147.8
2020-12-23,146.87,151.54,146.96,147.63
2020-12-22,144.72,147.03,146.34,146.6112
2020-12-21,144.41,147.36,146.8,145.005
2020-12-18,146.1238,150.7947,147.42,150.7947
2020-12-17,148.38,151.23,149.53,150.865
2020-12-16,146.71,150.44,149.74,149.14
2020-12-15,147.1,149.915,148.36,149.37
2020-12-14,143.33,147.75,146.29,144.9
2020-12-11,141.8901,150.27,144.28,149.24
2020-12-10,152.73,157.85,155.75,154.42
2020-12-09,155.55,161.07,156.02,158.6
2020-12-08,155.874,159.29,158.8,157.46
2020-12-07,156.71,158.97,158.02,158.55
2020-12-04,150.0,158.09,157.62,150.3
2020-12-03,149.64,152.7739,149.91,151.04
2020-12-02,149.62,151.49,149.98,150.51
2020-12-01,147.7943,152.39,151.26,148.79
2020-11-30,144.05,147.29,147.17,144.6295
2020-11-27,143.7,146.43,143.83,145.49
2020-11-25,144.04,147.49,144.08,145.95
2020-11-24,141.11,146.33,145.93,143.39
2020-11-23,141.8801,147.0,143.82,142.35
2020-11-20,145.94,149.1,146.03,148.28
2020-11-19,145.46,149.3,147.53,146.5613
2020-11-18,146.91,153.33,147.05,149.24
2020-11-17,147.1836,149.85,148.74,149.02
2020-11-16,144.55,149.25,149.07,145.2
2020-11-13,143.23,146.25,144.26,145.5375
2020-11-12,143.07,148.51,143.91,147.57
2020-11-11,144.0,148.09,147.69,144.5
2020-11-10,138.53,143.17,140.11,140.1484
2020-11-09,142.44,149.41,142.61,149.41
2020-11-06,143.96,146.232,145.01,146.01
2020-11-05,141.83,148.8,145.41,145.8193
2020-11-04,126.07,129.57,128.97,129.325
2020-11-03,124.69,126.92,125.45,125.44
2020-11-02,122.41,126.17,123.97,124.5
2020-10-30,121.6,125.245,123.36,123.68
2020-10-29,121.89,127.69,126.44,122.06
2020-10-28,121.05,123.82,121.58,123.5
2020-10-27,125.19,126.96,125.91,126.51
2020-10-26,124.4,128.67,126.2,127.53
2020-10-23,127.1,129.1,128.88,128.59
2020-10-22,126.86,129.59,128.38,129.51
2020-10-21,126.37,130.42,128.55,128.04
2020-10-20,127.51,129.33,128.3,129.18
2020-10-19,127.7,131.96,128.42,130.1265
2020-10-16,127.735,130.19,129.03,129.7
2020-10-15,126.65,129.135,128.58,127.3
2020-10-14,128.93,132.42,129.88,129.08
2020-10-13,125.4,128.18,127.46,127.47
2020-10-12,124.9523,127.6996,126.69,127.6996
2020-10-09,122.79,125.89,124.87,123.93
2020-10-08,121.84,124.43,122.34,124.0
2020-10-07,120.65,123.36,123.03,121.235
2020-10-06,119.1,122.52,119.54,120.45
2020-10-05,116.73,120.65,120.52,116.9
2020-10-02,115.43,118.66,115.47,116.78
2020-10-01,117.7,120.205,119.52,119.93
2020-09-30,116.9238,119.255,117.68,117.5
2020-09-29,117.2,119.25,117.38,118.14
2020-09-28,114.92,118.7391,118.47,115.96
2020-09-25,111.8,115.75,114.5,113.55
2020-09-24,109.24,113.29,112.19,109.39
2020-09-23,110.07,113.93,110.57,113.64
2020-09-22,110.415,114.25,113.82,112.61
2020-09-21,108.3,112.14,111.92,109.16
2020-09-18,109.8,115.43,110.69,115.04
2020-09-17,111.0,115.6999,114.88,111.92
2020-09-16,114.54,118.0,114.56,118.0
2020-09-15,114.79,117.81,116.58,114.94
2020-09-14,112.65,115.43,113.46,115.24
2020-09-11,112.4,114.845,113.42,113.38
2020-09-10,111.57,115.81,112.44,115.15
2020-09-09,112.3,115.77,114.02,113.4804
2020-09-08,109.62,113.88,109.77,111.94
2020-09-04,112.38,117.82,115.97,115.69
2020-09-03,115.6,121.71,116.43,121.3
2020-09-02,121.81,123.9299,123.18,123.26
2020-09-01,119.51,122.57,122.01,121.08
2020-08-31,118.12,121.06,119.1,118.3321
2020-08-28,116.17,118.26,118.2,116.71
2020-08-27,115.35,118.18,116.02,116.43
2020-08-26,115.17,116.55,116.04,116.25
2020-08-25,114.44,117.1,115.95,116.11
2020-08-24,113.27,116.0,115.91,114.37
2020-08-21,109.95,113.15,113.0,110.23
2020-08-20,109.67,110.98,110.66,110.0
2020-08-19,110.75,113.47,111.04,112.33
2020-08-18,111.52,113.38,112.03,112.91
2020-08-17,110.63,114.49,112.18,113.29
2020-08-14,112.57,114.52,113.74,113.3
2020-08-13,112.77,116.2,113.41,116.2
2020-08-12,109.65,116.25,115.79,110.39
2020-08-11,104.74,112.01,108.83,106.2
2020-08-10,105.7226,108.99,106.36,108.6
2020-08-07,106.0,111.05,108.25,110.01
2020-08-06,109.93,111.36,111.06,111.23
2020-08-05,110.08,112.46,111.39,111.0
2020-08-04,108.66,111.02,110.95,109.49
2020-08-03,107.0341,113.0,109.59,107.4
2020-07-31,104.51,107.753,105.61,105.66
2020-07-30,100.7,107.69,107.19,102.42
2020-07-29,91.74,93.62,93.03,92.08
2020-07-28,90.57,92.59,91.45,92.171
2020-07-27,89.26,92.84,92.7,90.0225
2020-07-24,87.51,90.29,88.89,89.21
2020-07-23,89.2287,92.97,89.67,92.91
2020-07-22,91.67,93.29,92.6,92.74
2020-07-21,91.81,93.85,92.31,93.55
2020-07-20,91.3,93.27,93.17,92.19
2020-07-17,91.0,92.46,92.23,91.68
2020-07-16,90.68,91.75,91.2,91.26
2020-07-15,91.01,92.93,92.55,92.93
2020-07-14,89.2,92.62,92.38,90.86
2020-07-13,91.2,94.13,91.33,93.3
2020-07-10,91.56,93.52,92.51,93.0
2020-07-09,91.44,93.95,93.25,93.95
2020-07-08,92.34,93.6,93.53,93.27
2020-07-07,91.91,93.55,92.14,92.97
2020-07-06,92.1,93.75,92.92,93.21
2020-07-02,90.8,92.5,91.87,91.09
2020-07-01,89.58,91.3,89.78,91.01
2020-06-30,89.0,91.93,91.21,89.2
2020-06-29,86.68,89.15,89.01,88.2113
2020-06-26,87.54,89.73,88.02,89.07
2020-06-25,87.32,89.46,88.96,88.7
2020-06-24,87.42,89.83,89.14,89.17
2020-06-23,89.11,90.61,89.35,90.14
2020-06-22,87.61,89.44,89.13,88.72
2020-06-19,87.54,90.25,88.81,89.87
2020-06-18,89.03,90.49,89.92,89.85
2020-06-17,89.3,91.09,89.94,90.68
2020-06-16,87.76,90.44,89.52,89.9
2020-06-15,83.1,86.57,86.39,83.67
2020-06-12,83.53,87.14,85.24,86.25
2020-06-11,83.91,89.06,84.02,88.62
2020-06-10,90.03,92.14,91.01,90.25
2020-06-09,89.06,90.39,89.75,90.23
2020-06-08,88.34,91.5,91.37,89.0
2020-06-05,87.82,89.48,88.55,88.0
2020-06-04,83.95,86.7,86.04,83.95
2020-06-03,83.62,85.95,84.11,84.95
2020-06-02,79.91,84.88,84.63,79.93
2020-06-01,79.24,80.48,79.73,79.89
2020-05-29,77.9,81.2,80.88,78.7
2020-05-28,77.73,81.48,78.11,80.24
2020-05-27,76.16,79.32,79.29,78.27
2020-05-26,77.78,80.57,78.02,80.19
2020-05-22,77.29,78.76,78.7,78.26
2020-05-21,77.87,80.09,78.0,79.47
2020-05-20,79.69,81.96,80.63,79.96
2020-05-19,78.0,80.15,78.09,79.75
2020-05-18,77.21,80.18,79.94,77.27
2020-05-15,74.37,77.7,75.77,74.67
2020-05-14,76.47,80.0,79.87,77.5
2020-05-13,76.75,79.51,78.0,78.86
2020-05-12,78.4,81.79,78.42,81.29
2020-05-11,79.54,81.27,80.48,80.29
2020-05-08,79.36,81.09,80.56,79.7
2020-05-07,78.26,80.17,78.83,79.7
2020-05-06,78.52,80.14,78.87,78.81
2020-05-05,76.56,78.81,77.63,76.75
2020-05-04,74.09,75.94,75.68,75.16
2020-05-01,74.68,77.59,75.64,76.85
2020-04-30,77.28,80.87,78.67,80.27
2020-04-29,76.83,79.24,78.97,77.17
2020-04-28,75.16,77.78,75.29,77.11
2020-04-27,75.49,77.82,75.98,76.59
2020-04-24,73.66,76.11,76.04,73.92
2020-04-23,73.76,76.17,73.81,75.0
2020-04-22,72.75,75.34,74.68,73.79
2020-04-21,71.75,73.97,71.84,73.31
2020-04-20,74.1,76.23,74.31,75.02
2020-04-17,75.48,78.25,76.17,77.32
2020-04-16,75.38,77.69,76.85,76.86
2020-04-15,74.03,76.34,75.99,75.86
2020-04-14,74.97,77.67,77.55,75.0
2020-04-13,71.44,73.51,73.3,71.71
2020-04-09,70.0,74.84,71.58,74.62
2020-04-08,72.42,74.38,73.33,73.7
2020-04-07,70.86,74.9,72.73,73.66
2020-04-06,67.65,71.37,70.95,68.5
2020-04-03,64.55,68.69,65.23,67.68
2020-04-02,65.31,68.26,68.02,65.87
2020-04-01,65.0,68.7,65.9,65.0
2020-03-31,66.66,70.36,67.65,69.3
2020-03-30,66.06,69.5,69.03,67.19
2020-03-27,65.93,69.12,66.59,66.5
2020-03-26,63.25,69.66,68.98,64.0
2020-03-25,62.46,66.96,63.08,65.9
2020-03-24,62.19,67.62,65.46,66.0
2020-03-23,59.11,64.86,62.53,61.55
2020-03-20,60.79,67.98,60.91,65.03
2020-03-19,59.04,67.55,65.0,61.12
2020-03-18,58.0,65.56,61.19,63.56
2020-03-17,62.2,69.81,68.86,65.91
2020-03-16,64.46,71.17,64.48,68.28
2020-03-13,67.26,76.67,75.81,71.18
2020-03-12,67.0,72.53,67.02,69.52
2020-03-11,73.72,77.79,74.62,76.29
2020-03-10,74.16,79.04,78.89,74.8
2020-03-09,71.83,76.1,72.64,72.4
2020-03-06,75.83,78.08,77.47,76.33
2020-03-05,78.7,81.37,79.17,79.46
2020-03-04,78.05,81.91,81.8,79.12
2020-03-03,77.83,82.65,78.56,80.82
2020-03-02,77.13,80.71,80.56,79.02
2020-02-28,73.34,79.81,78.3,73.76
2020-02-27,75.33,78.19,75.94,77.13
2020-02-26,79.09,82.03,79.66,81.0
2020-02-25,79.64,84.4,80.22,83.94
2020-02-24,82.71,84.83,83.32,83.9
2020-02-21,86.33,89.03,87.03,88.56
2020-02-20,88.68,91.88,89.47,90.81
2020-02-19,88.65,90.62,90.56,88.92
2020-02-18,87.53,89.0,88.03,87.83
2020-02-14,88.79,90.8,89.6,90.55
2020-02-13,89.78,91.38,90.03,91.03
2020-02-12,91.29,92.44,91.72,91.65
2020-02-11,88.9,91.47,90.0,89.37
2020-02-10,86.5,88.64,88.6,86.78
2020-02-07,87.38,90.03,87.42,89.62
2020-02-06,86.19,90.78,90.61,88.06
2020-02-05,89.27,91.14,90.91,90.99
2020-02-04,87.37,88.95,88.93,88.25
2020-02-03,85.16,86.58,86.48,85.55
2020-01-31,85.04,87.17,85.31,87.05
2020-01-30,86.19,87.86,87.78,87.31
2020-01-29,87.35,89.02,88.23,88.66
2020-01-28,87.39,89.54,89.15,88.15
2020-01-27,86.45,88.22,87.05,87.3
2020-01-24,88.83,93.25,89.65,92.68
2020-01-23,91.46,92.95,92.0,92.85
2020-01-22,92.71,95.39,92.97,95.26
2020-01-21,93.42,95.72,94.54,95.33
2020-01-17,92.95,96.17,95.91,93.0
2020-01-16,89.82,92.23,91.79,90.22
2020-01-15,89.25,91.18,89.67,90.75
2020-01-14,90.29,91.61,90.56,91.13
2020-01-13,90.55,92.73,90.97,91.05
2020-01-10,89.87,92.39,90.26,90.51
2020-01-09,88.83,90.72,89.91,89.66
2020-01-08,87.92,89.47,88.71,88.9
2020-01-07,86.91,89.49,88.97,87.04
2020-01-06,85.54,86.55,86.51,85.91
2020-01-03,86.44,87.64,87.02,87.26
2020-01-02,88.08,89.81,88.69,89.05
2019-12-31,87.88,88.77,88.23,87.99
2019-12-30,87.31,88.78,88.43,88.71
2019-12-27,88.09,88.95,88.8,88.9
2019-12-26,88.0,88.96,88.4,88.92
